Project ID,Use Case Quality Score,Defect Count,Project Duration (months),Client Satisfaction,Remarks
P1194, 70,, eleven,HIGH,good but unclear alt flows
P1195, 45%,eight,10,High,Well defined use cases
P1196,,15 ,9,High,
P1197,90%,20, eleven,low,"Incomplete UC, rework happened"
P1198,,,,HIGH,poorly written
P1199,100 ,eight,8 m,LOW ,
P1200,,zero,10,Medium ,
P1201, 70,15 ,,High,poorly written
P1202,,,8 m,,good but unclear alt flows
P1203,N/A,zero,8 m,,"Incomplete UC, rework happened"
P1204,85,12, eleven,,poorly written
P1205,85,,8 m,LOW ,Well defined use cases
P1206,,eight,8 m,low,Well defined use cases
P1207,90%,,9,HIGH,
P1208, 45%,5 defects,12months,LOW , some missing flows
P1209,85,20,14,Medium ,"Incomplete UC, rework happened"
P1210, 70,5 defects,N/A,LOW ,"Incomplete UC, rework happened"
P1211,N/A,12,10,,Well defined use cases
P1212,100 ,15 ,8 m,low,UC not reviewed
P1213,N/A,20,8 m,High,"Incomplete UC, rework happened"
P1214,,15 ,9,LOW , some missing flows
P1215,,zero,14,,"Incomplete UC, rework happened"
P1216, 45%,eight,9,LOW ,poorly written
P1217,100 ,5 defects,14,LOW ,
P1218,,20,9,LOW , Excellent documentation 
P1219, 45%,,14,High,Well defined use cases
P1220,,15 ,N/A,Medium , some missing flows
P1221, 45%,,N/A,Medium ,UC not reviewed
P1222, 70,5 defects,10,,UC not reviewed
P1223,100 ,20, eleven,HIGH,UC not reviewed
P1224, 45%,zero,8 m,HIGH,good but unclear alt flows
P1225, 45%,5 defects,9,,UC not reviewed
P1226,90%,,9,Medium , some missing flows
P1227,sixty,15 ,12months,Medium , some missing flows
P1228,,20,14,High,UC not reviewed
P1229,sixty,5 defects,10,HIGH,
P1230,90%,5 defects,9,Medium ,
P1231,sixty,12,,High,good but unclear alt flows
P1232,85,zero,14,LOW ,
P1233,sixty,,10,Medium ,poorly written
P1234,85,zero,N/A,low,UC not reviewed
P1235,,zero,12months,low,Well defined use cases
P1236,,12,10,LOW ,good but unclear alt flows
P1237,,,9,Medium , Excellent documentation 
P1238,85,5 defects,14,LOW , some missing flows
P1239,sixty,5 defects,N/A,low,good but unclear alt flows
P1240,85,15 ,9,HIGH,poorly written
P1241, 45%,20,N/A,Medium ,"Incomplete UC, rework happened"
P1242,,12,N/A,LOW ,"Incomplete UC, rework happened"
P1243,85,eight,12months,low,
P1244,,5 defects,N/A,High,"Incomplete UC, rework happened"
P1245,100 ,5 defects, eleven,HIGH,
P1246,sixty,20,,Medium , some missing flows
P1247,100 ,5 defects,12months,low,"Incomplete UC, rework happened"
P1248, 70,eight,10,High, some missing flows
P1249, 70,,N/A,High, Excellent documentation 
P1250, 70,15 ,9,low,UC not reviewed
P1251,,5 defects,,LOW ,good but unclear alt flows
P1252,sixty,,10,High,poorly written
P1253,90%,eight,9,High,good but unclear alt flows
P1254,,12,12months,low,UC not reviewed
P1255,100 ,5 defects,12months,,
P1256,N/A,zero,8 m,Medium , some missing flows
P1257, 70,eight,,,UC not reviewed
P1258,85,zero,,High,good but unclear alt flows
P1259,100 ,zero,10,,Well defined use cases
P1260,N/A,5 defects,10,Medium ,
P1261,N/A,12,10,,poorly written
P1262, 70,eight,14,HIGH,"Incomplete UC, rework happened"
P1263,,20,N/A,High,"Incomplete UC, rework happened"
P1264,sixty,,,low, some missing flows
P1265, 45%,15 ,N/A,HIGH,poorly written
P1266,,zero,9,High, some missing flows
P1267,,12,12months,Medium , Excellent documentation 
P1268,,5 defects,14,High,"Incomplete UC, rework happened"
P1269, 45%,zero,14,, Excellent documentation 
P1270,N/A,12,N/A,LOW , Excellent documentation 
P1271,,,12months,low,
P1272,,5 defects,N/A,High,
P1273,,15 , eleven,Medium ,"Incomplete UC, rework happened"
P1274,100 ,,14,low,Well defined use cases
P1275,100 ,15 ,9,LOW ,good but unclear alt flows
P1276,,,8 m,LOW , some missing flows
P1277,85,12,8 m,low, Excellent documentation 
P1278,100 ,15 ,10,, some missing flows
P1279,90%,,12months,Medium , some missing flows
P1280,sixty,eight,14,low,"Incomplete UC, rework happened"
P1281,sixty,5 defects,9,,UC not reviewed
P1282,,,10,HIGH, Excellent documentation 
P1283,100 ,,12months,LOW ,"Incomplete UC, rework happened"
P1284,,15 ,,low,Well defined use cases
P1285,100 ,20, eleven,Medium ,"Incomplete UC, rework happened"
P1286, 45%,20,9,low, some missing flows
P1287, 70,12,N/A,High,
P1288,N/A,12,9,, some missing flows
P1289,N/A,15 ,9,low,Well defined use cases
P1290,N/A,5 defects, eleven,Medium , some missing flows
P1291,N/A,5 defects,N/A,Medium ,UC not reviewed
P1292,100 ,20,8 m,LOW , Excellent documentation 
P1293,100 ,15 ,10,,good but unclear alt flows
P1294,sixty,zero,,High,
P1295,85,5 defects, eleven,HIGH,UC not reviewed
P1296,85,,12months,,
P1297,85,zero,14,High,Well defined use cases
P1298,N/A,,10,, some missing flows
P1299, 70,20,N/A,low, Excellent documentation 
P1300, 70,15 ,14,Medium ,
P1301,,,14,,
P1302,85,5 defects,8 m,High,good but unclear alt flows
P1303,,12, eleven,LOW ,UC not reviewed
P1304,N/A,15 ,9,Medium ,Well defined use cases
P1305, 70,eight,8 m,LOW ,poorly written
P1306,sixty,15 ,9,HIGH,good but unclear alt flows
P1307,90%,5 defects,,Medium , some missing flows
P1308,,12,8 m,HIGH,UC not reviewed
P1309, 45%,eight,N/A,,poorly written
P1310,85,,,High,poorly written
P1311,,15 , eleven,,good but unclear alt flows
P1312,N/A,,10,Medium ,good but unclear alt flows
P1313,,20,12months,low,poorly written
P1314,,zero,8 m,LOW , Excellent documentation 
P1315,90%,,,Medium ,Well defined use cases
P1316,,15 ,10,,"Incomplete UC, rework happened"
P1317, 45%,5 defects,14,High,
P1318,,zero,N/A,LOW ,good but unclear alt flows
P1319,,,12months,,"Incomplete UC, rework happened"
P1320,N/A,,14,Medium ,good but unclear alt flows
P1321,N/A,5 defects,10,Medium , some missing flows
P1322, 45%,20,10,HIGH, Excellent documentation 
P1323,100 ,20,9,Medium ,
P1324, 70,20,10,Medium ,Well defined use cases
P1325,sixty,,9,low,
P1326,100 ,eight,14,LOW ,poorly written
P1327,90%,,N/A,HIGH,Well defined use cases
P1328,100 ,12,,Medium ,poorly written
P1329,sixty,5 defects,8 m,Medium ,
P1330,,, eleven,HIGH,good but unclear alt flows
P1331,N/A,5 defects,9,HIGH,"Incomplete UC, rework happened"
P1332,,5 defects, eleven,low,good but unclear alt flows
P1333,,20,10,Medium , Excellent documentation 
P1334,90%,zero,12months,HIGH, Excellent documentation 
P1335, 70,,8 m,High,UC not reviewed
P1336,N/A,5 defects,14,,
P1337,,zero,12months,,"Incomplete UC, rework happened"
P1338, 70,eight,12months,HIGH,
P1339,sixty,12,14,LOW ,
P1340,90%,15 ,8 m,High, some missing flows
P1341,,5 defects,9,,good but unclear alt flows
P1342,100 ,12,14,LOW ,good but unclear alt flows
P1343,,15 ,8 m,low,
P1344,N/A,15 , eleven,High,UC not reviewed
P1345,90%,15 ,12months,LOW ,"Incomplete UC, rework happened"
P1346, 70,,,,Well defined use cases
P1347, 45%,,,LOW , Excellent documentation 
P1348,100 ,5 defects,14,Medium ,"Incomplete UC, rework happened"
P1349,100 ,, eleven,,UC not reviewed
P1350,,20,10,High,"Incomplete UC, rework happened"
P1351,,eight,N/A,, some missing flows
P1352,100 ,20,N/A,High, Excellent documentation 
P1353, 45%,5 defects,10,Medium ,UC not reviewed
P1354,sixty,,N/A,HIGH,
P1355,sixty,12,8 m,LOW ,good but unclear alt flows
P1356,,12, eleven,low,"Incomplete UC, rework happened"
P1357,N/A,12,8 m,low,
P1358,85,eight, eleven,Medium , Excellent documentation 
P1359,,12, eleven,HIGH, Excellent documentation 
P1360, 45%,eight,10,High,"Incomplete UC, rework happened"
P1361,100 ,15 ,10,High,
P1362,N/A,,8 m,,UC not reviewed
P1363,,eight,10,HIGH,poorly written
P1364,90%,zero,10,High,"Incomplete UC, rework happened"
P1365,100 ,eight,12months,low,poorly written
P1366,N/A,,,,"Incomplete UC, rework happened"
P1367,,12, eleven,Medium ,good but unclear alt flows
P1368,N/A,zero,9,low,UC not reviewed
P1369,90%,,10,Medium ,poorly written
P1370,90%,zero,8 m,,"Incomplete UC, rework happened"
P1371,90%,zero,14,LOW ,UC not reviewed
P1372,sixty,,8 m,Medium ,"Incomplete UC, rework happened"
P1373,,12,9,Medium ,"Incomplete UC, rework happened"
P1374,N/A,5 defects,9,LOW , Excellent documentation 
P1375,N/A,5 defects,N/A,low,
P1376,,15 ,10,LOW , Excellent documentation 
P1377,sixty,,14,low,"Incomplete UC, rework happened"
P1378,N/A,,,HIGH, some missing flows
P1379,100 ,,10,,
P1380,100 ,eight,14,HIGH,"Incomplete UC, rework happened"
P1381,85,zero,8 m,low, some missing flows
P1382,sixty,15 , eleven,low,UC not reviewed
P1383,100 ,zero, eleven,HIGH,Well defined use cases
P1384, 45%,12,,LOW ,good but unclear alt flows
P1385,sixty,,10,HIGH,"Incomplete UC, rework happened"
P1386,85,5 defects,N/A,High,
P1387, 45%,15 , eleven,Medium ,Well defined use cases
P1388,sixty,20,,HIGH, some missing flows
P1389,N/A,zero,8 m,low,good but unclear alt flows
P1390,N/A,15 ,N/A,low,poorly written
P1391,,,N/A,, Excellent documentation 
P1392,sixty,12,14,Medium ,Well defined use cases
P1393,90%,15 ,N/A,HIGH,UC not reviewed
P1394,,eight,8 m,High,
P1395, 70,zero,14,High,"Incomplete UC, rework happened"
P1396, 70,5 defects,9,HIGH,UC not reviewed
P1397, 70,5 defects,8 m,Medium , some missing flows
P1398,,5 defects,,HIGH,UC not reviewed
P1399,,15 ,12months,LOW ,Well defined use cases
P1400,sixty,, eleven,HIGH,UC not reviewed
P1401,,,N/A,Medium ,good but unclear alt flows
P1402,90%,,12months,Medium ,
P1403,90%,5 defects,10,low, Excellent documentation 
P1404, 70,12,N/A,Medium ,poorly written
P1405,,12,12months,HIGH, some missing flows
P1406,sixty,,8 m,Medium ,"Incomplete UC, rework happened"
P1407,,12,9,LOW ,good but unclear alt flows
P1408,,15 , eleven,LOW , Excellent documentation 
P1409, 45%,, eleven,High,"Incomplete UC, rework happened"
P1410,,,9,,poorly written
P1411,90%,5 defects,8 m,LOW ,
P1412, 45%,5 defects,12months,,UC not reviewed
P1413,N/A,15 ,12months,, some missing flows
P1414,N/A,5 defects,12months,,"Incomplete UC, rework happened"
P1415,sixty,5 defects, eleven,,good but unclear alt flows
P1416,100 ,12,N/A,HIGH, Excellent documentation 
P1417, 45%,12,,HIGH, Excellent documentation 
P1418,,,12months,low, some missing flows
P1419,N/A,5 defects,10,LOW , Excellent documentation 
P1420,N/A,5 defects,9,HIGH,
P1421,100 ,,,low,poorly written
P1422, 70,12,,HIGH, Excellent documentation 
P1423,N/A,,8 m,HIGH,Well defined use cases
P1424,,12,10,,Well defined use cases
P1425, 70,,8 m,High,"Incomplete UC, rework happened"
P1426,N/A,,8 m,High,Well defined use cases
P1427, 45%,20,12months,,good but unclear alt flows
P1428,100 ,zero,8 m,low, some missing flows
P1429,90%,, eleven,LOW ,
P1430,100 ,12, eleven,High, some missing flows
P1431,85,5 defects,N/A,low,UC not reviewed
P1432, 45%,zero,,HIGH,UC not reviewed
P1433, 45%,eight, eleven,High, Excellent documentation 
P1434,90%,, eleven,High,"Incomplete UC, rework happened"
P1435,N/A,20,8 m,LOW ,
P1436,N/A,,10,High,"Incomplete UC, rework happened"
P1437,100 ,12,10,Medium , Excellent documentation 
P1438,sixty,15 ,14,HIGH,UC not reviewed
P1439,N/A,,12months,low,good but unclear alt flows
P1440,100 ,15 ,N/A,Medium ,
P1441,,eight,,High,
P1442,sixty,12,8 m,Medium ,Well defined use cases
P1443,N/A,eight,9,low,Well defined use cases
P1444,,,14,LOW ,UC not reviewed
P1445,N/A,20,12months,low,good but unclear alt flows
P1446,N/A,20,,LOW ,
P1447,100 ,zero, eleven,HIGH,
P1448,N/A,12,N/A,low, some missing flows
P1449,85,zero, eleven,low,
P1450,,zero,14,low,"Incomplete UC, rework happened"
P1451, 45%,,N/A,low,UC not reviewed
P1452,85,,10,LOW ,Well defined use cases
P1453,sixty,15 ,10,LOW ,"Incomplete UC, rework happened"
P1454,100 ,,14,HIGH,Well defined use cases
P1455,,eight,,,good but unclear alt flows
P1456,100 ,15 ,N/A,low,"Incomplete UC, rework happened"
P1457,,eight,14,low,
P1458,85,eight, eleven,HIGH,good but unclear alt flows
P1459,,,9,low,good but unclear alt flows
P1460, 45%,15 ,8 m,LOW ,"Incomplete UC, rework happened"
P1461,100 ,12,N/A,low, some missing flows
P1462,,zero, eleven,Medium , Excellent documentation 
P1463,90%,eight,,High,UC not reviewed
P1464,100 ,20,N/A,HIGH,Well defined use cases
P1465,sixty,12,14,High,
P1466, 45%,20, eleven,,
P1467,85,eight,14,,poorly written
P1468,90%,15 ,12months,LOW ,"Incomplete UC, rework happened"
P1469, 45%,,12months,LOW ,"Incomplete UC, rework happened"
P1470,,zero, eleven,HIGH, Excellent documentation 
P1471,85,zero,8 m,High,UC not reviewed
P1472,90%,15 ,8 m,Medium ,"Incomplete UC, rework happened"
P1473,,,14,LOW , Excellent documentation 
P1474, 45%,20,10,High, Excellent documentation 
P1475, 45%,,10,, some missing flows
P1476, 70,zero, eleven,Medium ,"Incomplete UC, rework happened"
P1477,85,12,N/A,low, some missing flows
P1478,,eight,12months,Medium ,Well defined use cases
P1479,,,10,,good but unclear alt flows
P1480,N/A,20,N/A,low,UC not reviewed
P1481,90%,,9,LOW ,UC not reviewed
P1482,85,15 ,10,LOW ,Well defined use cases
P1483,sixty,5 defects,N/A,, Excellent documentation 
P1484,,,N/A,Medium , Excellent documentation 
P1485, 45%,12, eleven,HIGH,Well defined use cases
P1486,,,10,HIGH,good but unclear alt flows
P1487,85,5 defects,,Medium ,poorly written
P1488, 45%,12,N/A,LOW ,
P1489,85,12,12months,LOW ,Well defined use cases
P1490,sixty,12, eleven,Medium ,UC not reviewed
P1491, 45%,eight,,Medium ,poorly written
P1492, 45%,zero,N/A,LOW ,UC not reviewed
P1493,sixty,,12months,LOW ,good but unclear alt flows
P1494,,zero,9,,Well defined use cases
P1495,,eight,N/A,HIGH, some missing flows
P1496, 45%,zero, eleven,,
P1497,,15 ,12months,High,"Incomplete UC, rework happened"
P1498,,,14,low, Excellent documentation 
P1499,N/A,eight,N/A,, Excellent documentation 
P1500,90%,15 , eleven,low,poorly written
P1501,,,N/A,low,Well defined use cases
P1502,85,,N/A,LOW ,good but unclear alt flows
P1503, 45%,,8 m,High,
P1504,90%,eight,N/A,, some missing flows
P1505,100 ,20,14,low,UC not reviewed
P1506,90%,12,N/A,Medium ,good but unclear alt flows
P1507,sixty,12,N/A,LOW , Excellent documentation 
P1508,100 ,20,9,High,
P1509,,,9,,UC not reviewed
P1510,,eight,10,,poorly written
P1511,N/A,20,,HIGH,
P1512,100 ,,,High, some missing flows
P1513,,eight, eleven,HIGH,
P1514, 70,zero,8 m,low,Well defined use cases
P1515,sixty,15 ,N/A,HIGH,"Incomplete UC, rework happened"
P1516,,15 ,,High,
P1517,N/A,20,8 m,low,"Incomplete UC, rework happened"
P1518,,,12months,, Excellent documentation 
P1519,sixty,12, eleven,High, Excellent documentation 
P1520,100 ,15 ,14,,poorly written
P1521,N/A,,N/A,LOW ,good but unclear alt flows
P1522,sixty,12,12months,, some missing flows
P1523,100 ,15 ,9,High,UC not reviewed
P1524,100 ,5 defects,14,High,good but unclear alt flows
P1525,100 ,12,9,HIGH,UC not reviewed
P1526,90%,12,14,High,"Incomplete UC, rework happened"
P1527,sixty,,12months,,poorly written
P1528,85,12,8 m,High, some missing flows
P1529,90%,15 , eleven,LOW , some missing flows
P1530,,,8 m,low, Excellent documentation 
P1531,sixty,zero,10,Medium ,poorly written
P1532,sixty,,9,HIGH,UC not reviewed
P1533,N/A,5 defects,9,low,UC not reviewed
P1534, 45%,,12months,Medium , some missing flows
P1535, 70,zero,9,High, some missing flows
P1536, 70,,14,LOW ,Well defined use cases
P1537, 70,5 defects,12months,Medium ,poorly written
P1538,N/A,eight,9,LOW ,good but unclear alt flows
P1539,85,eight,10,low, some missing flows
P1540,100 ,5 defects,9,High,poorly written
P1541,90%,15 ,N/A,low, some missing flows
P1542,,eight,N/A,low, Excellent documentation 
P1543,,,N/A,High,
P1544, 45%,,8 m,Medium ,
P1545, 70,5 defects,9,,good but unclear alt flows
P1546,,eight,14,low, Excellent documentation 
P1547, 45%,eight,N/A,Medium ,UC not reviewed
P1548,sixty,20,10,,poorly written
P1549, 70,,12months,High, some missing flows
P1550,,,,Medium , Excellent documentation 
P1551,N/A,eight,9,Medium ,good but unclear alt flows
P1552,N/A,,12months,Medium ,
P1553,N/A,zero,,LOW ,
P1554,100 ,12,10,Medium , some missing flows
P1555, 70,15 ,12months,Medium ,poorly written
P1556,90%,,12months,High, some missing flows
P1557,90%,20,14,, Excellent documentation 
P1558,100 ,,8 m,LOW ,"Incomplete UC, rework happened"
P1559, 45%,15 ,14,low, some missing flows
P1560, 45%,,12months,HIGH, Excellent documentation 
P1561,,12,8 m,HIGH,UC not reviewed
P1562,100 ,eight,12months,HIGH,
P1563,90%,,14,High,UC not reviewed
P1564,,12,N/A,Medium ,"Incomplete UC, rework happened"
P1565,,5 defects,8 m,,Well defined use cases
P1566,85,zero, eleven,LOW , Excellent documentation 
P1567,,,12months,LOW , Excellent documentation 
P1568,85,15 ,10,Medium ,Well defined use cases
P1569, 70,eight,N/A,low,Well defined use cases
P1570,90%,zero,10,High,Well defined use cases
P1571, 70,12,12months,HIGH,good but unclear alt flows
P1572,100 ,zero,14,High,
P1573,sixty,eight,9,HIGH,Well defined use cases
P1574,90%,zero,9,HIGH,poorly written
P1575,N/A,,10,HIGH,"Incomplete UC, rework happened"
P1576,,15 ,10,High,poorly written
P1577, 70,,14,LOW ,good but unclear alt flows
P1578,sixty,,9,HIGH,Well defined use cases
P1579,100 ,,N/A,High,UC not reviewed
P1580,90%,5 defects, eleven,low,poorly written
P1581,sixty,zero,N/A,low,UC not reviewed
P1582,100 ,zero,,low,"Incomplete UC, rework happened"
P1583, 45%,,12months,,"Incomplete UC, rework happened"
P1584,,eight,14,High,UC not reviewed
P1585,90%,eight, eleven,HIGH, Excellent documentation 
P1586,,zero,12months,low,
P1587,,eight,8 m,,UC not reviewed
P1588, 70,20,9,LOW ,"Incomplete UC, rework happened"
P1589,N/A,12,8 m,LOW , some missing flows
P1590,85,20, eleven,,poorly written
P1591,sixty,12,8 m,High,good but unclear alt flows
P1592,85,zero,,low,poorly written
P1593,85,15 ,,LOW ,
P1594,90%,,8 m,low,
P1595,90%,,14,low,Well defined use cases
P1596, 45%,,,,
P1597, 45%,zero,,LOW ,poorly written
P1598,85,20, eleven,, Excellent documentation 
P1599,90%,5 defects,14,Medium ,UC not reviewed
P1600,,,N/A,High,poorly written
P1601, 45%,20,8 m,HIGH,poorly written
P1602,,15 ,N/A,HIGH,"Incomplete UC, rework happened"
P1603, 45%,eight,8 m,, some missing flows
P1604,sixty,20,12months,HIGH, some missing flows
P1605,,12,,LOW ,"Incomplete UC, rework happened"
P1606,100 ,zero, eleven,LOW ,poorly written
P1607, 45%,20,12months,low,good but unclear alt flows
P1608,90%,eight,8 m,,"Incomplete UC, rework happened"
P1609,sixty,5 defects,N/A,low,Well defined use cases
P1610,85,zero,,LOW ,good but unclear alt flows
P1611,sixty,, eleven,Medium , some missing flows
P1612,,eight,N/A,High,good but unclear alt flows
P1613,,,12months,,poorly written
P1614,N/A,zero,,LOW , Excellent documentation 
P1615,,eight,,low, Excellent documentation 
P1616,,15 ,9,low,UC not reviewed
P1617,100 ,15 ,N/A,Medium ,
P1618,90%,12,10,,Well defined use cases
P1619,N/A,20,8 m,High,"Incomplete UC, rework happened"
P1620, 45%,12,12months,HIGH, Excellent documentation 
P1621, 45%,20,12months,low,UC not reviewed
P1622, 45%,,,High,good but unclear alt flows
P1623,,,9,low,Well defined use cases
P1624,100 ,5 defects,,,
P1625,,5 defects,N/A,,"Incomplete UC, rework happened"
P1626, 45%,5 defects,,HIGH,
P1627, 70,,10,High,poorly written
P1628,100 ,zero,N/A,HIGH,Well defined use cases
P1629,90%,12,10,Medium , some missing flows
P1630,,zero,,Medium ,good but unclear alt flows
P1631,,5 defects,8 m,Medium , Excellent documentation 
P1632,N/A,zero, eleven,LOW , Excellent documentation 
P1633,,,12months,low,poorly written
P1634,100 ,zero, eleven,,"Incomplete UC, rework happened"
P1635,N/A,20,,HIGH,
P1636,N/A,eight,12months,LOW ,good but unclear alt flows
P1637, 70,,10,LOW ,
P1638,sixty,15 ,14,low,Well defined use cases
P1639, 45%,, eleven,,UC not reviewed
P1640,N/A,,10,High,Well defined use cases
P1641,sixty,20,,HIGH,
P1642,100 ,,8 m,LOW ,good but unclear alt flows
P1643, 45%,5 defects, eleven,High,UC not reviewed
P1644,sixty,12,8 m,HIGH,good but unclear alt flows
P1645,90%,12,12months,LOW , some missing flows
P1646,,5 defects,9,LOW ,good but unclear alt flows
P1647,sixty,20,8 m,,"Incomplete UC, rework happened"
P1648,N/A,,10,LOW ,"Incomplete UC, rework happened"
P1649,N/A,zero,14,HIGH,good but unclear alt flows
P1650, 70,zero,9,HIGH,UC not reviewed
P1651,,,8 m,HIGH, some missing flows
P1652,100 ,5 defects, eleven,LOW ,good but unclear alt flows
P1653,85,12, eleven,low, Excellent documentation 
P1654,,15 ,8 m,low, some missing flows
P1655,,15 , eleven,High,good but unclear alt flows
P1656,N/A,,9,High,"Incomplete UC, rework happened"
P1657,,5 defects,8 m,HIGH,UC not reviewed
P1658,,,N/A,High,good but unclear alt flows
P1659,,zero,N/A,, Excellent documentation 
P1660,N/A,12,12months,Medium ,good but unclear alt flows
P1661,90%,,8 m,low,good but unclear alt flows
P1662,,,10,High,Well defined use cases
P1663, 70,12,12months,LOW ,good but unclear alt flows
P1664, 70,zero,9,HIGH,"Incomplete UC, rework happened"
P1665,sixty,,9,Medium ,
P1666, 45%,eight,10,low,UC not reviewed
P1667,,,10,HIGH,good but unclear alt flows
P1668,,15 , eleven,low, some missing flows
P1669,100 ,5 defects,12months,Medium ,UC not reviewed
P1670,,5 defects,9,LOW ,
P1671,100 ,eight,,HIGH,Well defined use cases
P1672,100 ,5 defects,,,good but unclear alt flows
P1673, 70,,14,,poorly written
P1674, 45%,5 defects,12months,low,poorly written
P1675,,15 ,9,Medium , some missing flows
P1676,N/A,,12months,LOW ,UC not reviewed
P1677,sixty,20,10,HIGH,Well defined use cases
P1678,N/A,zero,N/A,Medium ,good but unclear alt flows
P1679,,, eleven,High,
P1680,sixty,20,10,LOW ,good but unclear alt flows
P1681,N/A,15 ,10,Medium , some missing flows
P1682,85,20,12months,Medium , some missing flows
P1683, 70,15 ,10,, some missing flows
P1684,,5 defects,12months,HIGH,poorly written
P1685,85,eight,,Medium ,good but unclear alt flows
P1686,100 ,eight,8 m,HIGH,
P1687, 70,zero,,Medium ,"Incomplete UC, rework happened"
P1688,,,12months,Medium ,poorly written
P1689, 70,12,14,low, Excellent documentation 
P1690, 70,,12months,,poorly written
P1691, 70,,9,low, Excellent documentation 
P1692,,, eleven,low,good but unclear alt flows
P1693,sixty,20,10,,poorly written
P1694, 70,,10,LOW ,Well defined use cases
P1695,N/A,20,,,UC not reviewed
P1696,100 ,,10,low,"Incomplete UC, rework happened"
P1697,85,15 ,,low,"Incomplete UC, rework happened"
P1698,N/A,15 , eleven,Medium ,"Incomplete UC, rework happened"
P1699,,,12months,High,good but unclear alt flows
P1700,85,zero,9,High,
P1701,85,20,8 m,HIGH,good but unclear alt flows
P1702,85,5 defects, eleven,, Excellent documentation 
P1703,90%,12,12months,low, some missing flows
P1704,sixty,15 ,8 m,HIGH,
P1705,100 ,,14,,poorly written
P1706,sixty,,14,High,poorly written
P1707,90%,15 ,14,High,UC not reviewed
P1708,N/A,, eleven,,Well defined use cases
P1709,,,14,,
P1710, 45%,15 ,9,,poorly written
P1711,N/A,20,10,,good but unclear alt flows
P1712,90%,12,14,Medium ,Well defined use cases
P1713,,20,8 m,Medium ,Well defined use cases
P1714,100 ,12,8 m,High,UC not reviewed
P1715, 45%,zero,10,, some missing flows
P1716,85,eight, eleven,low,UC not reviewed
P1717, 70,15 , eleven,High,UC not reviewed
P1718, 70,eight,N/A,HIGH, Excellent documentation 
P1719,100 ,zero, eleven,High,good but unclear alt flows
P1720,90%,eight,10,HIGH,UC not reviewed
P1721,100 ,20,9,HIGH,Well defined use cases
P1722,90%,eight,9,Medium ,good but unclear alt flows
P1723,90%,12,9,Medium ,poorly written
P1724,N/A,20,9,HIGH, Excellent documentation 
P1725,,12,,High,good but unclear alt flows
P1726,90%,5 defects,N/A,HIGH,UC not reviewed
P1727,N/A,5 defects,10,low,Well defined use cases
P1728, 70,20,N/A,low,Well defined use cases
P1729,90%,, eleven,High,poorly written
P1730,,eight,10,LOW ,"Incomplete UC, rework happened"
P1731,,eight,8 m,Medium ,poorly written
P1732,90%,12,14,LOW ,Well defined use cases
P1733,,,,,poorly written
P1734,90%,, eleven,low, some missing flows
P1735,sixty,5 defects,N/A,low,Well defined use cases
P1736,N/A,,N/A,High, some missing flows
P1737,85,15 ,,LOW ,"Incomplete UC, rework happened"
P1738,100 ,20,12months,High,good but unclear alt flows
P1739, 70,eight,12months,,"Incomplete UC, rework happened"
P1740,,15 , eleven,low, some missing flows
P1741,,zero,8 m,low,good but unclear alt flows
P1742,100 ,12,14,low, Excellent documentation 
P1743,85,12,10,LOW ,good but unclear alt flows
P1744,100 ,zero,N/A,High,UC not reviewed
P1745,,eight,12months,Medium ,"Incomplete UC, rework happened"
P1746,sixty,5 defects,10,low, Excellent documentation 
P1747,90%,5 defects,,low,"Incomplete UC, rework happened"
P1748,90%,20,,,poorly written
P1749, 45%,5 defects,9,Medium ,"Incomplete UC, rework happened"
P1750,sixty,,N/A,LOW ,
P1751,85,,8 m,LOW ,
P1752, 45%,12,12months,,"Incomplete UC, rework happened"
P1753, 45%,zero,8 m,, Excellent documentation 
P1754, 70,20,,low,poorly written
P1755,N/A,12,9,LOW ,UC not reviewed
P1756,N/A,,8 m,low, some missing flows
P1757,100 ,5 defects, eleven,low,"Incomplete UC, rework happened"
P1758,,zero, eleven,Medium , some missing flows
P1759, 70,5 defects,9,,good but unclear alt flows
P1760, 70,15 ,12months,High,poorly written
P1761, 45%,5 defects,10,Medium , Excellent documentation 
P1762,100 ,,N/A,Medium ,
P1763,sixty,5 defects,,High,"Incomplete UC, rework happened"
P1764,sixty,20,N/A,High,good but unclear alt flows
P1765, 70,20,12months,LOW , some missing flows
P1766,85,5 defects,N/A,low,"Incomplete UC, rework happened"
P1767,100 ,zero,10,low,good but unclear alt flows
P1768,90%,zero,8 m,HIGH,good but unclear alt flows
P1769,,,10,High,good but unclear alt flows
P1770,90%,15 ,9,low,
P1771,100 ,12,,low,"Incomplete UC, rework happened"
P1772,85,,9,LOW ,poorly written
P1773,,5 defects,9,HIGH,good but unclear alt flows
P1774,100 ,5 defects,N/A,,"Incomplete UC, rework happened"
P1775,sixty,eight,9,LOW ,"Incomplete UC, rework happened"
P1776, 70,eight,9,LOW ,UC not reviewed
P1777,sixty,,N/A,low,"Incomplete UC, rework happened"
P1778, 45%,5 defects,10,Medium ,Well defined use cases
P1779,90%,20,10,Medium ,
P1780,sixty,,N/A,HIGH, Excellent documentation 
P1781, 45%,,9,HIGH, Excellent documentation 
P1782,sixty,15 ,N/A,,UC not reviewed
P1783, 70,,14,Medium ,
P1784,N/A,,14,low,poorly written
P1785,100 ,15 ,8 m,,poorly written
P1786,85,,12months,Medium ,UC not reviewed
P1787,90%,15 ,N/A,High, Excellent documentation 
